activity,short_label,start,end,location,type,description,country,color_code
BA Anthropology,BA Anthro,2006.9,2010.9,"Washington, USA",Education,"<ul>
<li><em>Whitman College</em></li>
<li><strong>Intern with Jurash archeological project</strong>, Saudi Arabia</li>
<li>Thesis focus on historical structure and agency</li>
</ul>",USA, #b3cbb9ff
LCSNW Volunteer,LCSNW,2011,2011.4,"Oregon, USA",Employment,"<ul>
<li><strong>Refugee support and citizenship exam support</strong>  (US DHS Grant)</li> 
</ul>",USA, #b3cbb9ff
US Peace Crops,US Peace Corps,2011.4,2013.8,Republic of Georgia,Employment,"<ul>
<li><strong>Secondary education and youth development program</strong></li>
<ul>",Republic of Georgia, #33a1fdff
Cambridge CELTA,Cambridge CELTA,2013.8,2014.2,"Illinois, USA",Education,"<ul>
<li>UK level 7 certificate for language education.</li>
</ul>",USA, #b3cbb9ff
EF Education First,EF Education First,2014.3,2016.6,"Java, Indonesia",Employment,"<ul>
<li><strong>Language Instructor</strong> (2014)</li>
<li><strong>Director of Studies</strong> (2015 - 2016)</li>
</ul>",Indonesia,#3b3561ff
EF Labs,EF Labs,2016.7,2017.5,"Shanghai, China",Employment,"<ul>
<li><strong>Academic and Quality Manager</strong> for video mediated language lessons.</li>
<li>LMS administration and cross-functional support for platform development in an agile framework.</li>
<li>Worked in Jira, Salesforce, Confluence, Adobe Connect, MySQL.</li>
</ul>",China,#ddd8b8ff
China Online Education,COE,2017.6,2018.83,"Beijing, China",Employment,"<ul>
<li><strong>Operations and Quality Manager</strong> Beijing/Shanghai</li>
<li>Focus on integrating quality control processes with measurable business deliverables.</li>
<li>Created churn risk iidentification and intervention approaches.</li>
</ul>",China,#ddd8b8ff
China Online Education,COE,2018.83,2021,"Remote, Switzerland",Employment,"<ul>
<li><strong>Data Engineer</strong> </li>
<li>Application development focused on supporting daily management operations and automating processes.<li>
<li>Created scalable ML-driven solutions expanding capacity while reducing unit costs.</li>
</ul>",Switzerland,#de541eff
MSc Data Science & Financial Technology,MSc DS,2021.1,2022.5,"Remote, Switzerland",Education,"<ul>
<li><em>Goldsmith's, University of London</em></li>
<li><strong>Distinction in Modules</strong>:</li>
 <li><em>Mathematics and Statistics for Data Science</em></li>
<li><em>Data Visualisation</em></li>
 <li><em>Mathematics of Financial Markets</em></li>
<li><em>Big Data Analysis</em></li>
<li><em>Machine Learning</em></li>
<li><em>Artificial Intelligence</em></li>
<li><em>Neural Networks</em></li>
</ul>",Switzerland,#de541eff
MSc Data Science & Financial Technology,MSc DS,2022.5,2023,"Remote, United Kingdom",Education,"<ul>
<li><em>Goldsmith's, University of London</em></li>
<li><strong>Distinction in Modules</strong>:</li>
 <li><em>Mathematics and Statistics for Data Science</em></li>
<li><em>Data Visualisation</em></li>
 <li><em>Mathematics of Financial Markets</em></li>
<li><em>Big Data Analysis</em></li>
<li><em>Machine Learning</em></li>
<li><em>Artificial Intelligence</em></li>
<li><em>Neural Networks</em></li>
</ul>",United Kingdom,seagreen
